lang_code,COMET,chrF++,precision,resource_level,BLEU
sw_KE,0.5191995973189274,15.961390688788276,fp16,low,3.0353885404552
de_DE,0.8073469785029043,54.188485626489026,fp16,high,28.6951095689105
it_IT,0.8407854625660336,59.89955282519308,fp16,mid,35.5349862141368
fr_FR,0.8101694921184637,57.771135061677136,fp16,high,33.6774559345837
th_TH,0.48917153210403447,13.043654250931274,fp16,low,8.4798853601495
hi_IN,0.4516915146686988,15.009010344424375,fp16,mid,2.98800513515659
sw_KE,0.48535828588004104,15.622504782900526,int8,low,2.63682791703356
de_DE,0.8071039197499862,54.21045431175585,int8,high,28.5669807613581
it_IT,0.8405539505407662,59.782297876738035,int8,mid,35.375690453885
fr_FR,0.8104216229461716,57.86539756302933,int8,high,33.8571377726315
th_TH,0.4794644614857041,13.108234231175246,int8,low,8.31101160103341
hi_IN,0.44738122928357554,14.832642567894702,int8,mid,2.7316416219431
sw_KE,0.5128515713170678,15.963699997289574,int4,low,3.03255895421245
de_DE,0.8070646750783633,53.77883777482618,int4,high,28.3447635725762
it_IT,0.8384220595648867,59.34418729314913,int4,mid,35.1894870789424
fr_FR,0.8062931093460094,56.85827532167623,int4,high,32.6973746202346
th_TH,0.46885610464400423,12.051161445069885,int4,low,8.17411411264612
hi_IN,0.43251723675187936,15.51359908969004,int4,mid,2.62741555432356
