lang_code,COMET,chrF++,precision,resource_level,seen_status,language
sw_KE,0.5191995973189274,15.961390688788276,fp16,low,unseen,Swahili
de_DE,0.8073469785029043,54.188485626489026,fp16,high,seen,German
it_IT,0.8407854625660336,59.89955282519308,fp16,mid,seen,Italian
fr_FR,0.8101694921184637,57.771135061677136,fp16,high,seen,French
th_TH,0.48917153210403447,13.043654250931274,fp16,low,unseen,Thai
hi_IN,0.4516915146686988,15.009010344424375,fp16,mid,unseen,Hindi
sw_KE,0.48535828588004104,15.622504782900526,int8,low,unseen,Swahili
de_DE,0.8071039197499862,54.21045431175585,int8,high,seen,German
it_IT,0.8405539505407662,59.782297876738035,int8,mid,seen,Italian
fr_FR,0.8104216229461716,57.86539756302933,int8,high,seen,French
th_TH,0.4794644614857041,13.108234231175246,int8,low,unseen,Thai
hi_IN,0.44738122928357554,14.832642567894702,int8,mid,unseen,Hindi
sw_KE,0.5128515713170678,15.963699997289574,int4,low,unseen,Swahili
de_DE,0.8070646750783633,53.77883777482618,int4,high,seen,German
it_IT,0.8384220595648867,59.34418729314913,int4,mid,seen,Italian
fr_FR,0.8062931093460094,56.85827532167623,int4,high,seen,French
th_TH,0.46885610464400423,12.051161445069885,int4,low,unseen,Thai
hi_IN,0.43251723675187936,15.51359908969004,int4,mid,unseen,Hindi
ar_SA,0.5353333160191596,18.996025369349724,fp16,mid,unseen,Arabic
ar_SA,0.5317576211505758,19.0209111232336,int8,mid,unseen,Arabic
ar_SA,0.5166598419716697,18.331054664268347,int4,mid,unseen,Arabic
